OTU	Test-Statistic	P	FDR_P	Bonferroni_P	NH_mean	H_mean	taxonomy
OTU_5715	7.06203616841	0.00787344591985	0.956201188458	1.0	0.741935483871	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Balneimonas; s__
OTU_5385	6.16992135864	0.0129940384868	0.956201188458	1.0	4.96774193548	0.125	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_27	4.89734795691	0.0268979734349	0.956201188458	1.0	1.61290322581	0.0416666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__
OTU_5019	4.73140807786	0.0296166295332	0.956201188458	1.0	6.90322580645	0.0416666666667	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
OTU_3272	4.73140807786	0.0296166295332	0.956201188458	1.0	5.06451612903	0.0416666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Macrococcus
OTU_507	3.98676745199	0.0458589644955	0.956201188458	1.0	1.0	0.541666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU_245	3.97803248515	0.0460973787988	0.956201188458	1.0	2.51612903226	0.0833333333333	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
OTU_581	3.91591138394	0.047831074182	0.956201188458	1.0	1.35483870968	0.0416666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__; s__
OTU_83	3.59557717136	0.0579335079939	0.956201188458	1.0	1.0	0.0833333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_29	3.09420936278	0.0785713113884	0.956201188458	1.0	794.064516129	40.2083333333	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
OTU_181	2.87979496364	0.0896974424159	0.956201188458	1.0	9.96774193548	47.625	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
OTU_1012	2.86009170733	0.0908023215056	0.956201188458	1.0	3.54838709677	0.208333333333	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__
OTU_68	2.84192761886	0.0918339861279	0.956201188458	1.0	6.90322580645	0.375	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Jeotgalicoccus; s__
OTU_784	2.64832204915	0.103659260871	0.956201188458	1.0	0.806451612903	0.125	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__
OTU_121	2.6457577782	0.103826638104	0.956201188458	1.0	95.7096774194	0.333333333333	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Oligella; s__
OTU_6	2.54093690952	0.110928945609	0.956201188458	1.0	269.838709677	3441.25	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
